gen,child,eps,Rg,err
11,10,[1.891730 1.316444 0.887667 3.187380 0.457457 0.784895 1.174235 2.271033 0.484226 0.250956 3.448375 1.983270 1.038719 1.380019 0.208652],24.216227,11.783773
11,11,[2.404159 1.558317 0.768642 3.290631 1.113289 1.016730 0.575765 2.041348 0.125478 0.985182 3.113767 1.322419 1.262428 1.976099 0.781788],19.453022,16.546978
11,12,[2.238050 0.887189 0.875000 2.697419 0.762428 1.087715 1.025813 1.105880 0.844168 0.738289 3.448375 1.346080 0.381214 1.546367 1.779159],25.592813,10.407187
12,1,[1.588671 0.520793 1.617591 3.608987 1.024140 1.184034 1.417782 0.543977 0.367591 0.902964 3.154876 1.221319 0.611855 2.095841 0.782505],21.985211,14.014789
12,2,[2.399379 1.516969 1.711520 1.724426 1.671845 1.304732 0.131453 1.278203 0.119503 0.820985 3.568117 1.965822 0.362333 2.755975 1.463671],24.534760,11.465240
12,3,[1.686663 1.227055 0.962715 3.257648 0.995459 1.773184 0.387189 0.657744 0.401052 1.571941 4.122849 1.781071 0.617591 1.888623 1.016730],24.484755,11.515245
12,4,[1.553298 1.472992 0.691683 2.782505 1.219646 0.716778 0.502390 0.892447 1.195985 0.845602 3.693595 0.831262 0.842256 2.310229 0.636472],24.729161,11.270839
12,5,[1.050430 1.428776 0.641013 3.361138 0.473709 2.076004 0.573614 1.095124 1.221558 0.445029 3.361138 2.475860 0.406549 2.247132 0.488767],20.776001,15.223999
12,6,[1.806883 1.292782 0.657744 2.844407 0.817400 0.788719 0.915631 1.007648 1.546367 1.055927 3.154876 1.688815 1.483031 1.450048 0.899379],27.056356,8.943644
12,7,[2.488528 0.299235 1.288719 2.782505 2.015296 1.241635 0.685229 1.364723 0.910612 1.216539 3.575765 2.250239 0.470602 1.218929 1.104924],20.327138,15.672862
12,8,[1.716539 0.363767 0.895076 3.134321 1.072658 0.761233 0.573136 0.885277 0.686424 0.393881 3.187380 1.308795 0.337954 1.889340 1.638384],27.363682,8.636318
12,9,[1.786807 1.636233 0.421845 3.187380 0.242113 0.446702 0.625000 0.349665 0.665392 0.507409 3.423279 0.612333 0.976577 1.744503 1.109704],23.312326,12.687674
12,10,[2.170889 0.768642 1.630497 3.575765 1.225143 0.872371 0.131453 0.430449 1.159895 0.119503 4.168260 1.446224 0.366635 2.472753 0.654159],23.517303,12.482697
12,11,[2.066922 0.775335 1.198614 2.915392 0.249044 0.709130 0.677581 0.716778 0.969168 0.402486 3.918499 1.005736 1.167543 1.377629 1.327438],25.110690,10.889310
